BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Pisonia albida,Pisonia,albida,,(Heimerl) Britton ex Standl.,Nyctaginaceae,Caryophyllales,PRTRE609-13,KJ012721,,,R.A. Muscarella-573,21-Feb-2012,US
Pisonia taina,Pisonia,taina,,Trejo,Nyctaginaceae,Caryophyllales,PRTRE642-13,,KJ082504,,R.A. Muscarella-684,04-Feb-2012,US
Pithecellobium dulce,Pithecellobium,dulce,,(Roxb.) Benth.,Fabaceae,Fabales,PRTRE028-13,KJ012723,KJ082505,KJ426883,R.A. Muscarella-51,15-Jun-2011,US
Pithecellobium unguis-cati,Pithecellobium,unguis-cati,,(L.) Benth.,Fabaceae,Fabales,PRTRE042-13,,KJ082506,KJ426884,R.A. Muscarella-67,15-Jun-2011,US
Plumeria alba,Plumeria,alba,,L.,Apocynaceae,Gentianales,PRTRE125-13,KJ012724,KJ082507,KJ426885,R.A. Muscarella-2,06-Feb-2011,US
Plumeria obtusa,Plumeria,obtusa,,L.,Apocynaceae,Gentianales,PRTRE087-13,KJ012725,KJ082508,KJ426886,R.A. Muscarella-73,18-Jun-2011,US
Podocarpus coriaceus,Podocarpus,coriaceus,,Rich. & A. Rich.,Podocarpaceae,Araucariales,PRTRE113-13,,KJ082509,KJ426887,R.A. Muscarella-232,16-Jul-2011,US
Podocarpus coriaceus,Podocarpus,coriaceus,,Rich. & A. Rich.,Podocarpaceae,Araucariales,PRTRE657-13,,,KJ426888,R.A. Muscarella-579,19-Feb-2012,US
Poitea florida,Poitea,florida,,(Vahl) Lavin,Fabaceae,Fabales,PRTRE085-13,KJ012726,KJ082510,KJ426889,R.A. Muscarella-109,07-Jan-2011,US
Poitea punicea,Poitea,punicea,,(Urb.) Lavin,Fabaceae,Fabales,PRTRE006-13,KJ012727,KJ082511,,R.A. Muscarella-86,18-Jun-2011,US
Poitea punicea,Poitea,punicea,,(Urb.) Lavin,Fabaceae,Fabales,PRTRE503-13,KJ012728,KJ082512,KJ426890,R.A. Muscarella-565,13-Feb-2012,US
Pouteria dictyoneura,Pouteria,dictyoneura,subsp. fuertesii,(Urb.) Cronquist,Sapotaceae,Ericales,PRTRE143-13,KJ012729,KJ082513,KJ426891,R.A. Muscarella-475,08-Oct-2011,US
Pouteria dictyoneura,Pouteria,dictyoneura,subsp. fuertesii,(Urb.) Cronquist,Sapotaceae,Ericales,PRTRE530-13,KJ012730,KJ082514,,R.A. Muscarella-666,20-Mar-2012,US
Pouteria hotteana,Pouteria,hotteana,,(Urban & Ekman) Bahini,Sapotaceae,Ericales,PRTRE417-13,KJ012731,KJ082515,,P. Acevedo-Rdgz.-7717,10-Dec-1995,US
Pouteria multiflora,Pouteria,multiflora,,(A. DC.) Eyma,Sapotaceae,Ericales,PRTRE231-13,KJ012732,KJ082516,,R.A. Muscarella-251,17-Jul-2011,US
Prockia crucis,Prockia,crucis,,L.,Salicaceae,Malpighiales,PRTRE432-13,,JQ592131.1,,R.O. Woodbury-NA,22-Jun-1966,US
Prosopis pallida,Prosopis,pallida,,(Humb. & Bonpl. ex Willd.) Kunth,Fabaceae,Fabales,PRTRE236-13,KJ012733,KJ082517,KJ426892,R.A. Muscarella-184,06-Mar-2011,US
Prunus myrtifolia,Prunus,myrtifolia,,(L.) Urb.,Rosaceae,Rosales,PRTRE656-13,,KJ082518,KJ426894,R.A. Muscarella-601,21-Feb-2012,US
Prunus myrtifolia,Prunus,myrtifolia,,(L.) Urb.,Rosaceae,Rosales,PRTRE594-13,,KJ082519,KJ426895,R.A. Muscarella-595,21-Feb-2012,US
Prunus occidentalis,Prunus,occidentalis,,Sw.,Rosaceae,Rosales,PRTRE129-13,KJ012734,KJ082520,KJ426896,R.A. Muscarella-435,30-Jul-2011,US
